cluster_id,category,function,source_argument,target_argument,alpha,semantic_delta,semantic_top1,control_delta,control_top1,control_kind,paired_delta
1ef0d32a4445cacf,months,next_month,April,October,1.0,0.0,False,0.0625,False,random_delta_matched,-0.0625
1ef0d32a4445cacf,months,next_month,April,October,2.0,-9.6640625,False,0.25,False,random_delta_matched,-9.9140625
531fa73dd6936ac3,months,next_month,July,February,0.5,0.3125,False,0.0625,False,random_delta_matched,0.25
531fa73dd6936ac3,months,next_month,July,February,1.0,-0.125,False,0.0,False,random_delta_matched,-0.125
531fa73dd6936ac3,months,next_month,July,February,2.0,29.96875,False,-0.4375,False,random_delta_matched,30.40625
531fa73dd6936ac3,months,next_month,July,April,0.5,0.5624995231628418,False,4.76837158203125e-07,False,random_delta_matched,0.5624990463256836
531fa73dd6936ac3,months,next_month,July,April,1.0,0.2499995231628418,False,-0.125,False,random_delta_matched,0.3749995231628418
531fa73dd6936ac3,months,next_month,July,April,2.0,-12.4375,False,-0.75,False,random_delta_matched,-11.6875
531fa73dd6936ac3,months,next_month,July,October,0.5,0.1875,False,-0.125,False,random_delta_matched,0.3125
531fa73dd6936ac3,months,next_month,July,October,1.0,-0.0625,False,0.0,False,random_delta_matched,-0.0625
531fa73dd6936ac3,months,next_month,July,October,2.0,29.750001907348633,False,0.0,False,random_delta_matched,29.750001907348633
db9615f3b48e8d54,months,next_month,October,February,0.5,0.1875,False,-0.0625,False,random_delta_matched,0.25
db9615f3b48e8d54,months,next_month,October,February,1.0,-0.125,False,-0.0625,False,random_delta_matched,-0.0625
db9615f3b48e8d54,months,next_month,October,February,2.0,27.375,False,-0.3125,False,random_delta_matched,27.6875
db9615f3b48e8d54,months,next_month,October,April,0.5,0.8124995231628418,False,0.2499995231628418,False,random_delta_matched,0.5625
db9615f3b48e8d54,months,next_month,October,April,1.0,0.2499995231628418,False,-0.2500004768371582,False,random_delta_matched,0.5
db9615f3b48e8d54,months,next_month,October,April,2.0,-20.0,False,-0.1250004768371582,False,random_delta_matched,-19.874999523162842
