artifact,configuration_id,position_mask,operation,control,alpha,n_eligible,n_scenarios,mean_target_logodds_gain,gain_ci_low,gain_ci_high,positive_gain_fraction,target_top1_fraction,mean_output_kl_nats,mean_delta_rms_ratio,median_condition_number,high_cosine_fraction,maximum_absolute_cosine,minimum_function_effect,positive_function_count,layers,rank_mean_target_logodds_gain,rank_positive_gain_fraction,rank_target_top1_fraction,rank_mean_output_kl_nats,rank_mean_delta_rms_ratio,rank_minimum_function_effect,mean_rank
cumulative_layers,layers_36_37_38_39,argument_through_end,pseudoinverse_coordinate_swap,semantic,0.5,33,11,3.522727272727273,2.8578598484848485,4.27092803030303,1.0,0.030303030303030304,0.15329390614660351,0.025891037217771275,1.856811881065368,0.0,0.625970244407653,3.1527777777777777,3,"[36, 37, 38, 39]",0.5384615384615384,0.40384615384615385,0.40384615384615385,0.7307692307692307,0.38461538461538464,0.34615384615384615,0.467948717948718
cumulative_layers,layers_42_43,argument_through_end,pseudoinverse_coordinate_swap,semantic,0.5,33,11,3.7490530266906275,3.0964488600239606,4.535132572235483,1.0,0.030303030303030304,0.11591958824657986,0.03934993643479397,1.620604395866394,0.0,0.509735107421875,2.90625,3,"[42, 43]",0.4230769230769231,0.40384615384615385,0.40384615384615385,0.5384615384615384,0.6538461538461539,0.46153846153846156,0.4807692307692308
cumulative_layers,layers_40_41,argument_through_end,pseudoinverse_coordinate_swap,semantic,0.5,33,11,3.776515147902749,3.070075757485448,4.634517041932454,1.0,0.030303030303030304,0.1395782105568228,0.048475661563728914,1.637488722801208,0.0,0.529918313026428,3.0677083333333335,3,"[40, 41]",0.38461538461538464,0.40384615384615385,0.40384615384615385,0.6923076923076923,0.7692307692307693,0.4230769230769231,0.5128205128205129
strength_sweep,layer_34__all_prompt_positions__alpha_0.5,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,0.5,33,11,1.9176136327512336,1.4706439389423893,2.461245265061205,1.0,0.030303030303030304,0.046866671025230455,0.040562499201658456,2.07620620727539,0.0,0.6704385280609131,1.8125,3,[34],0.6538461538461539,0.40384615384615385,0.40384615384615385,0.3076923076923077,0.6923076923076923,0.6538461538461539,0.5192307692307693
strength_sweep,layer_34__argument_through_end__alpha_0.5,argument_through_end,pseudoinverse_coordinate_swap,semantic,0.5,33,11,1.923295436483441,1.4857481060606061,2.459303962823116,1.0,0.030303030303030304,0.04755721851005028,0.05727689329421828,2.07620620727539,0.0,0.6704385280609131,1.8125,3,[34],0.6153846153846154,0.40384615384615385,0.40384615384615385,0.34615384615384615,0.8461538461538461,0.6538461538461539,0.5448717948717948
cumulative_layers,layers_43,argument_through_end,pseudoinverse_coordinate_swap,semantic,0.5,33,11,3.660037875175476,3.0264677995082105,4.426396776780937,1.0,0.030303030303030304,0.10510360019874128,0.0736375440928064,1.620604395866394,0.0,0.509735107421875,2.8645833333333335,3,[43],0.5,0.40384615384615385,0.40384615384615385,0.46153846153846156,0.9615384615384616,0.5384615384615384,0.5448717948717948
strength_sweep,layer_32__all_prompt_positions__alpha_0.5,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,0.5,33,11,1.853219707806905,1.3844223590511266,2.446070075757576,1.0,0.030303030303030304,0.06659287775189313,0.036385209666508066,2.734405755996704,0.0,0.7866466641426081,1.6822916666666667,3,[32],0.7307692307692307,0.40384615384615385,0.40384615384615385,0.4230769230769231,0.6153846153846154,0.7692307692307693,0.5576923076923076
coordinate_trajectories,operation_pseudoinverse_coordinate_swap,argument_through_end,pseudoinverse_coordinate_swap,semantic,0.5,33,11,1.9147727236603245,1.4677320073048274,2.4696969590403812,1.0,0.030303030303030304,0.04807128179747792,0.05728721268700792,2.07620620727539,0.0,0.6704385280609131,1.8125,3,[34],0.6923076923076923,0.40384615384615385,0.40384615384615385,0.38461538461538464,0.8846153846153846,0.6538461538461539,0.5705128205128205
cumulative_layers,layers_40,argument_through_end,pseudoinverse_coordinate_swap,semantic,0.5,33,11,3.497159087296688,2.8522017045454544,4.22357953841036,1.0,0.030303030303030304,0.11108026019241035,0.0906580081491755,1.637488722801208,0.0,0.529918313026428,2.7135416666666665,3,[40],0.5769230769230769,0.40384615384615385,0.40384615384615385,0.5,1.0,0.5769230769230769,0.576923076923077
coordinate_trajectories,operation_donor_coordinate_patch,argument_through_end,donor_coordinate_patch,semantic,0.5,33,11,1.7566287806539824,1.515151514609655,2.032196955247359,1.0,0.030303030303030304,0.032777372857018996,0.05887283520265009,2.07620620727539,0.0,0.6704385280609131,1.6875,3,[34],0.7692307692307693,0.40384615384615385,0.40384615384615385,0.2692307692307692,0.9230769230769231,0.7307692307692307,0.5833333333333334
strength_sweep,layer_34__all_prompt_positions__alpha_0.25,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,0.25,33,11,0.5530302994179003,0.4308475105148372,0.6950757684129657,0.9696969696969697,0.0,0.0023424521266745798,0.020281249544385153,2.07620620727539,0.0,0.6704385280609131,0.515625,3,[34],0.8076923076923077,0.8653846153846154,0.9038461538461539,0.23076923076923078,0.19230769230769232,0.8076923076923077,0.6346153846153847
strength_sweep,layer_32__all_prompt_positions__alpha_0.25,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,0.25,33,11,0.5208333297209307,0.40719696238185404,0.6562499893434118,0.9696969696969697,0.0,0.0023310716254244467,0.018192604635700514,2.734405755996704,0.0,0.7866466641426081,0.4791666666666667,3,[32],0.8846153846153846,0.8653846153846154,0.9038461538461539,0.19230769230769232,0.11538461538461539,0.8846153846153846,0.6410256410256411
coordinate_trajectories,operation_source_suppression_target_installation,argument_through_end,source_suppression_target_installation,semantic,0.5,33,11,0.3191287662043716,0.25094693357294257,0.3844696969696969,0.9696969696969697,0.0,0.0008493077122799412,0.021062619165714454,2.07620620727539,0.0,0.6704385280609131,0.2630208333333333,3,[34],0.9230769230769231,0.8653846153846154,0.9038461538461539,0.038461538461538464,0.23076923076923078,0.9230769230769231,0.6474358974358975
strength_sweep,layer_34__argument_through_end__alpha_0.25,argument_through_end,pseudoinverse_coordinate_swap,semantic,0.25,33,11,0.5454545346173373,0.4337121246439038,0.6789772549361893,0.9696969696969697,0.0,0.0022373786310759375,0.02863844636488988,2.07620620727539,0.0,0.6704385280609131,0.5052083333333334,3,[34],0.8461538461538461,0.8653846153846154,0.9038461538461539,0.15384615384615385,0.5,0.8461538461538461,0.6858974358974358
position_sweep,layer_34__final_prompt_position,final_prompt_position,pseudoinverse_coordinate_swap,semantic,1.0,33,11,0.2689393903269912,0.1174242422436223,0.4687499928655046,0.8787878787878788,0.0,0.0021575830167306345,0.055615742817859276,2.07620620727539,0.0,0.6704385280609131,0.10416666666666667,3,[34],0.9615384615384616,0.9615384615384616,0.9038461538461539,0.11538461538461539,0.8076923076923077,0.9615384615384616,0.7852564102564102
position_sweep,layer_33__final_prompt_position,final_prompt_position,pseudoinverse_coordinate_swap,semantic,1.0,33,11,0.1505681637561682,0.041666652126745723,0.27840907311800756,0.7878787878787878,0.0,0.0014690815865334695,0.04073463438191588,2.227025032043457,0.0,0.7041747570037841,0.031249960263570086,3,[33],1.0,1.0,0.9038461538461539,0.07692307692307693,0.7307692307692307,1.0,0.7852564102564102
